incident_id,service,event_type,timestamp,severity,description,actor,related_ticket_id,related_deployment_id
INC-4021,payments,TICKET_OPENED,2024-06-14T12:15:00Z,P1,Alert: high failed transaction volume; Redis cache miss spike noted (later confirmed unrelated),automated-alert,TKT-20874,
INC-4021,gateway,ALERT_FIRED,2024-06-14T14:01:00Z,P1,Gateway circuit breaker opened for payments upstream after consecutive 503 responses (misconfigured threshold=1),pagerduty,TKT-11461,
INC-4021,gateway,TICKET_OPENED,2024-06-14T14:03:00Z,P1,100% of API calls returning 502 Bad Gateway; nginx logs show upstream connection refused,on-call-engineer,TKT-75422,
INC-4021,orders,ALERT_FIRED,2024-06-14T14:31:00Z,P1,CRITICAL: orders-db-primary Postgres data volume at 100% capacity; writes failing,pagerduty,TKT-26561,
INC-4021,orders,TICKET_OPENED,2024-06-14T14:32:00Z,P1,Orders service returning HTTP 500 since 14:32; pods restarted twice; memory graphs elevated,customer-support,TKT-59946,
INC-4021,orders,ROOT_CAUSE_IDENTIFIED,2024-06-14T14:35:00Z,P1,Root cause confirmed: WAL archive on orders-db not pruned for 47 days due to misconfigured cron job; disk at 100%,dave@example.com,TKT-26561,
INC-4021,orders,TICKET_OPENED,2024-06-14T14:40:00Z,P1,Customer-facing 500 on checkout; suspected inventory-check microservice blocking thread pool,customer-support,TKT-29718,
INC-4021,orders,MITIGATION_APPLIED,2024-06-14T14:45:00Z,P1,WAL archive pruning started; 180GB freed; EBS volume extension initiated (500GB),dave@example.com,TKT-26561,
INC-4021,payments,MITIGATION_APPLIED,2024-06-14T14:51:00Z,P1,Stripe resolved their incident at 12:51 UTC; payments circuit breaker reset automatically; payment queue draining,bob@example.com,TKT-59018,
INC-4021,orders,RECOVERY,2024-06-14T15:02:00Z,P2,Orders-db-primary restarted successfully; orders service recovered; 500s resolved,dave@example.com,TKT-26561,
INC-4021,orders,MITIGATION_APPLIED,2024-06-14T15:10:00Z,P2,Fixed misconfigured WAL archive cron job schedule; disk alerting thresholds set at 75% and 90%,dave@example.com,TKT-26561,
INC-4021,gateway,RECOVERY,2024-06-14T15:15:00Z,P2,Gateway circuit breaker reset after payments upstream recovery; 502s resolved,carol@example.com,TKT-11461,
INC-4021,payments,RESOLVED,2024-06-14T15:30:00Z,P3,INC-4021 payments sub-incident resolved; Stripe fully recovered; no data loss,bob@example.com,TKT-59018,
INC-4021,orders,RESOLVED,2024-06-14T15:30:00Z,P3,INC-4021 orders sub-incident resolved; disk usage stable; cron job fixed; post-mortem scheduled,dave@example.com,TKT-26561,
INC-3908,redis,ALERT_FIRED,2024-06-14T11:00:00Z,P1,Redis cluster OOM: used memory exceeded maxmemory limit; cache writes failing with OOM error,pagerduty,P1-801,
INC-3908,auth,IMPACT_DETECTED,2024-06-14T11:05:00Z,P1,Auth service degraded: session writes to Redis failing; users being logged out; fallback to DB triggered,alice@example.com,P1-801,
INC-3908,redis,ROOT_CAUSE_IDENTIFIED,2024-06-14T11:15:00Z,P1,Root cause: Redis maxmemory-policy set to noeviction; cache filled completely under load spike,carol@example.com,P1-801,
INC-3908,redis,MITIGATION_APPLIED,2024-06-14T11:25:00Z,P1,Changed eviction policy to allkeys-lru; flushed stale keys; memory pressure relieved,carol@example.com,P1-801,
INC-3908,redis,RESOLVED,2024-06-14T11:45:00Z,P2,INC-3908 resolved: Redis operating normally; eviction policy permanently updated; memory alerting added,carol@example.com,P1-801,
